"Reference","Value","Rating","Description","MFR Number","Manufacturer","Qty"
"C101,C102","0.1uF","63V AC","Film Capacitors 0.1 uF 100 VDC 5%","MKS2D031001A00JC00","WIMA","2"
"C103","470uF","35V","Aluminum Electrolytic Capacitors - Radial Leaded 470uF 35volts 10x16 LS 5mm","EEU-HD1V471","Panasonic","1"
"C104","0.1uF","400V AC","Film Capacitors 0.1 uF 630 VDC 5%","MKP1J031004J00JI00","WIMA","1"
"C201,C202","0.1uF","100V AC","Film Capacitors 0.1 uF 250 VDC 20%","MKS2F031001E00MSSD ","WIMA","2"
"C203,C204,C205,C206","10000uF","80V","Aluminum Electrolytic Capacitors - Snap In 80volts 10000uF 85c 35x50x10L/S","LLS1K103MELC","Nichicon","4"
"CNT101,CNT102,CNT104,CNT105,CNT106,CNT107,CNT201,CNT202,CNT203,CNT204,CNT205,CNT206,CNT207,CNT208,CNT209,CNT210,CNT211,CNT212,CNTX101,CNTX102,CNTX103,CNTX104,CNTX105,CNTX106,CNTX107,CNTX108,CNTX109,CNTX110,CNTX112,CNTX113,CNTX114,CNTX201,CNTX202,CNTX203","2376582-2","","250 FASTON PCB TAB TPBR","2376582-2","TE Connectivity","34"
"CNT103,CNT108","22-27-2031","","Headers & Wire Housings 3C STR HEADER W/FRLK","22-27-2031","Molex","2"
"CNTX111","22-27-2031","","Headers & Wire Housings 3C STR HEADER W/FRLK","22-27-2031","Molex","1"
"D101,D102","1N4002","","Rectifiers Diode, DO-41, 100V, 1A","1N4002","Diotec Semiconductor","2"
"D201,D202","GBU1006","","Bridge Rectifiers 10 Amp 100 Volt","GBU1006","Vishay General Semiconductor ","2"
"F101","10A","","Fuse","","","1"
"FB101,FB102,FB201","Ferrite Bead","","Axial Lead Ferrite Bead","28C0236-0JW-10","Laird","3"
"JS101","PX0575/10/28","","AC Power Entry Modules SNAP-IN 1MM PNL TAB","PX0575/10/28","Bulgin","1"
"K101","SLA-24VDC-SL-A","","SONGLE, SLA-1（T90-1）Relay","SLA-24VDC-SL-A","Songle","1"
"L201","Bourns RLB0913-1R0K","","Power Inductors - Leaded 1uH 10% 7.45A Non-SHLD 8.5x12.5mm","RLB0913-1R0K","Bourns","1"
"SW101","JWMW21RA1A","","Rocker Switches DPST TV5 RATED BLACK CAP HRZ MRK PNL SEA","JWMW21RA1A","NKK Switches","1"
"T101","15A","","Power Transformer, 15A / Input: 110V, 120V, 50Hz dual primary windings / Output: 32V AC with CT + 18V AC with CT","","","1"
"TH101","MS32-7R015","","Inrush Current Limiters ICL 7R 20% 15A 31MM B","MS327R015B","Ametherm","1"
